id	Question	Model answer	Acceptable?	annotator1	annotator2	annotator3
1	where are the washington redskins based out of	washington metropolitan area	Yes	Yes	Yes	
1	where are the washington redskins based out of	The Washington Redskins are based out of Landover, Maryland.	Yes	Yes	Yes	
1	where are the washington redskins based out of	washington, d. c.	Yes	Yes	Yes	
1	where are the washington redskins based out of	Washington, D.C.	Yes	Yes	Yes	
1	where are the washington redskins based out of	Landover , Maryland	Yes	Yes	Yes	
2	the boiling point of water is 100 degrees celsius express this in si units	373.15 K	Yes	Yes	No	Yes
2	the boiling point of water is 100 degrees celsius express this in si units	kelvin	No	No	No	
2	the boiling point of water is 100 degrees celsius express this in si units	centigrade	No	No	No	
2	the boiling point of water is 100 degrees celsius express this in si units	k	No	No	No	
2	the boiling point of water is 100 degrees celsius express this in si units	Celsius	No	No	Yes	No
2	the boiling point of water is 100 degrees celsius express this in si units	100°C = 373.15 K	Yes	Yes	No	Yes
3	when did earth's atmosphere change due to living organisms	2.4 billion years ago	Yes	Yes	Yes	
3	when did earth's atmosphere change due to living organisms	541 million years ago	No	No	No	
3	when did earth's atmosphere change due to living organisms	around 2.45 billion years ago	Yes	Yes	Yes	
3	when did earth's atmosphere change due to living organisms	around 280 million years ago	No	No	No	
3	when did earth's atmosphere change due to living organisms	2.45 billion years ago	Yes	Yes	Yes	
3	when did earth's atmosphere change due to living organisms	Approximately 2.45 billion years ago.	Yes	Yes	Yes	
3	when did earth's atmosphere change due to living organisms	around 2.4 billion years ago	Yes	Yes	Yes	
4	which president supported the creation of the environmental protection agency (epa)	Richard Nixon.	Yes	Yes	Yes	
4	which president supported the creation of the environmental protection agency (epa)	Richard Nixon	Yes	Yes	Yes	
4	which president supported the creation of the environmental protection agency (epa)	Nixon	Yes	Yes	Yes	
4	which president supported the creation of the environmental protection agency (epa)	president richard nixon	Yes	Yes	Yes	
5	where does the largest amount of federal tax revenue come from	The largest amount of federal tax revenue comes from individual income taxes.	Yes	Yes	Yes	
